model_alias,model_ref,prefill,decode,repeat,bench_duration_s,avg_power_w,total_energy_j,energy_per_iter_j,energy_per_iter_wh,power_csv,log
llama3_1b,AI-ModelScope/Llama-3.2-1B-Instruct,512,1,12,17.149,18.157374,311.380799,25.948400,0.007207889,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260526_233932/AI-ModelScope__Llama-3.2-1B-Instruct_p512_n1_rep12_power.csv,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260526_233932/AI-ModelScope__Llama-3.2-1B-Instruct_p512_n1_rep12.log
llama3_1b,AI-ModelScope/Llama-3.2-1B-Instruct,1024,1,5,22.034,17.179913,378.542203,75.708441,0.021030122,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260526_233932/AI-ModelScope__Llama-3.2-1B-Instruct_p1024_n1_rep5_power.csv,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260526_233932/AI-ModelScope__Llama-3.2-1B-Instruct_p1024_n1_rep5.log
llama3_1b,AI-ModelScope/Llama-3.2-1B-Instruct,2048,1,2,29.118,17.734504,516.402148,258.201074,0.071722521,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260526_233932/AI-ModelScope__Llama-3.2-1B-Instruct_p2048_n1_rep2_power.csv,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260526_233932/AI-ModelScope__Llama-3.2-1B-Instruct_p2048_n1_rep2.log
llama3_1b,AI-ModelScope/Llama-3.2-1B-Instruct,4096,1,1,60.594,18.327396,1110.521069,1110.521069,0.308478075,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260526_233932/AI-ModelScope__Llama-3.2-1B-Instruct_p4096_n1_rep1_power.csv,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260526_233932/AI-ModelScope__Llama-3.2-1B-Instruct_p4096_n1_rep1.log
llama3_8b,LLM-Research/Meta-Llama-3-8B-Instruct,512,1,12,92.246,19.825847,1828.845131,152.403761,0.042334378,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260527_003021/LLM-Research__Meta-Llama-3-8B-Instruct_p512_n1_rep12_power.csv,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260527_003021/LLM-Research__Meta-Llama-3-8B-Instruct_p512_n1_rep12.log
llama3_8b,LLM-Research/Meta-Llama-3-8B-Instruct,1024,1,5,93.797,19.935160,1869.858162,373.971632,0.103881009,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260527_003021/LLM-Research__Meta-Llama-3-8B-Instruct_p1024_n1_rep5_power.csv,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260527_003021/LLM-Research__Meta-Llama-3-8B-Instruct_p1024_n1_rep5.log
llama3_8b,LLM-Research/Meta-Llama-3-8B-Instruct,2048,1,2,130.053,19.334532,2514.513850,1257.256925,0.349238035,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260527_003021/LLM-Research__Meta-Llama-3-8B-Instruct_p2048_n1_rep2_power.csv,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260527_003021/LLM-Research__Meta-Llama-3-8B-Instruct_p2048_n1_rep2.log
llama3_8b,LLM-Research/Meta-Llama-3-8B-Instruct,4096,1,1,250.525,19.353487,4848.532270,4848.532270,1.346814519,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260527_003021/LLM-Research__Meta-Llama-3-8B-Instruct_p4096_n1_rep1_power.csv,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260527_003021/LLM-Research__Meta-Llama-3-8B-Instruct_p4096_n1_rep1.log
qwen2.5_7b,Qwen/Qwen2.5-7B-Instruct,512,1,12,94.245,18.709381,1763.265604,146.938800,0.040816333,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260527_000702/Qwen__Qwen2.5-7B-Instruct_p512_n1_rep12_power.csv,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260527_000702/Qwen__Qwen2.5-7B-Instruct_p512_n1_rep12.log
qwen2.5_7b,Qwen/Qwen2.5-7B-Instruct,1024,1,5,92.482,18.975326,1754.876058,350.975212,0.097493114,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260527_000702/Qwen__Qwen2.5-7B-Instruct_p1024_n1_rep5_power.csv,/root/code/kvshare-edge/impl/MNN/.cache/logs/llm-bench-power/20260527_000702/Qwen__Qwen2.5-7B-Instruct_p1024_n1_rep5.log
