单元前缀,数量,含义,完整 metric 名
dram__,928,显存（字节/周期）,dram__bytes.avg
,,,dram__bytes.avg.pct_of_peak_sustained_active
,,,dram__bytes.avg.pct_of_peak_sustained_elapsed
,,,dram__bytes.avg.pct_of_peak_sustained_frame
,,,dram__bytes.avg.pct_of_peak_sustained_region
,,,dram__bytes.avg.peak_sustained
,,,dram__bytes.avg.peak_sustained_active
,,,dram__bytes.avg.peak_sustained_active.per_second
,,,dram__bytes.avg.peak_sustained_elapsed
,,,dram__bytes.avg.peak_sustained_elapsed.per_second
,,,dram__bytes.avg.peak_sustained_frame
,,,dram__bytes.avg.peak_sustained_frame.per_second
,,,dram__bytes.avg.peak_sustained_region
,,,dram__bytes.avg.peak_sustained_region.per_second
,,,dram__bytes.avg.per_cycle_active
,,,dram__bytes.avg.per_cycle_elapsed
,,,dram__bytes.avg.per_cycle_in_frame
,,,dram__bytes.avg.per_cycle_in_region
,,,dram__bytes.avg.per_second
,,,dram__bytes.max
,,,dram__bytes.max.pct_of_peak_sustained_active
,,,dram__bytes.max.pct_of_peak_sustained_elapsed
,,,dram__bytes.max.pct_of_peak_sustained_frame
,,,dram__bytes.max.pct_of_peak_sustained_region
,,,dram__bytes.max.peak_sustained
,,,dram__bytes.max.peak_sustained_active
,,,dram__bytes.max.peak_sustained_active.per_second
,,,dram__bytes.max.peak_sustained_elapsed
,,,dram__bytes.max.peak_sustained_elapsed.per_second
,,,dram__bytes.max.peak_sustained_frame
,,,dram__bytes.max.peak_sustained_frame.per_second
,,,dram__bytes.max.peak_sustained_region
,,,dram__bytes.max.peak_sustained_region.per_second
,,,dram__bytes.max.per_cycle_active
,,,dram__bytes.max.per_cycle_elapsed
,,,dram__bytes.max.per_cycle_in_frame
,,,dram__bytes.max.per_cycle_in_region
,,,dram__bytes.max.per_second
,,,dram__bytes.min
,,,dram__bytes.min.pct_of_peak_sustained_active
,,,dram__bytes.min.pct_of_peak_sustained_elapsed
,,,dram__bytes.min.pct_of_peak_sustained_frame
,,,dram__bytes.min.pct_of_peak_sustained_region
,,,dram__bytes.min.peak_sustained
,,,dram__bytes.min.peak_sustained_active
,,,dram__bytes.min.peak_sustained_active.per_second
,,,dram__bytes.min.peak_sustained_elapsed
,,,dram__bytes.min.peak_sustained_elapsed.per_second
,,,dram__bytes.min.peak_sustained_frame
,,,dram__bytes.min.peak_sustained_frame.per_second
,,,dram__bytes.min.peak_sustained_region
,,,dram__bytes.min.peak_sustained_region.per_second
,,,dram__bytes.min.per_cycle_active
,,,dram__bytes.min.per_cycle_elapsed
,,,dram__bytes.min.per_cycle_in_frame
,,,dram__bytes.min.per_cycle_in_region
,,,dram__bytes.min.per_second
,,,dram__bytes.sum
,,,dram__bytes.sum.pct_of_peak_sustained_active
,,,dram__bytes.sum.pct_of_peak_sustained_elapsed
,,,dram__bytes.sum.pct_of_peak_sustained_frame
,,,dram__bytes.sum.pct_of_peak_sustained_region
,,,dram__bytes.sum.peak_sustained
,,,dram__bytes.sum.peak_sustained_active
,,,dram__bytes.sum.peak_sustained_active.per_second
,,,dram__bytes.sum.peak_sustained_elapsed
,,,dram__bytes.sum.peak_sustained_elapsed.per_second
,,,dram__bytes.sum.peak_sustained_frame
,,,dram__bytes.sum.peak_sustained_frame.per_second
,,,dram__bytes.sum.peak_sustained_region
,,,dram__bytes.sum.peak_sustained_region.per_second
,,,dram__bytes.sum.per_cycle_active
,,,dram__bytes.sum.per_cycle_elapsed
,,,dram__bytes.sum.per_cycle_in_frame
,,,dram__bytes.sum.per_cycle_in_region
,,,dram__bytes.sum.per_second
,,,dram__bytes_read.avg
,,,dram__bytes_read.avg.pct_of_peak_sustained_active
,,,dram__bytes_read.avg.pct_of_peak_sustained_elapsed
,,,dram__bytes_read.avg.pct_of_peak_sustained_frame
,,,dram__bytes_read.avg.pct_of_peak_sustained_region
,,,dram__bytes_read.avg.peak_sustained
,,,dram__bytes_read.avg.peak_sustained_active
,,,dram__bytes_read.avg.peak_sustained_active.per_second
,,,dram__bytes_read.avg.peak_sustained_elapsed
,,,dram__bytes_read.avg.peak_sustained_elapsed.per_second
,,,dram__bytes_read.avg.peak_sustained_frame
,,,dram__bytes_read.avg.peak_sustained_frame.per_second
,,,dram__bytes_read.avg.peak_sustained_region
,,,dram__bytes_read.avg.peak_sustained_region.per_second
,,,dram__bytes_read.avg.per_cycle_active
,,,dram__bytes_read.avg.per_cycle_elapsed
,,,dram__bytes_read.avg.per_cycle_in_frame
,,,dram__bytes_read.avg.per_cycle_in_region
,,,dram__bytes_read.avg.per_second
,,,dram__bytes_read.max
,,,dram__bytes_read.max.pct_of_peak_sustained_active
,,,dram__bytes_read.max.pct_of_peak_sustained_elapsed
,,,dram__bytes_read.max.pct_of_peak_sustained_frame
,,,dram__bytes_read.max.pct_of_peak_sustained_region
,,,dram__bytes_read.max.peak_sustained
,,,dram__bytes_read.max.peak_sustained_active
,,,dram__bytes_read.max.peak_sustained_active.per_second
,,,dram__bytes_read.max.peak_sustained_elapsed
,,,dram__bytes_read.max.peak_sustained_elapsed.per_second
,,,dram__bytes_read.max.peak_sustained_frame
,,,dram__bytes_read.max.peak_sustained_frame.per_second
,,,dram__bytes_read.max.peak_sustained_region
,,,dram__bytes_read.max.peak_sustained_region.per_second
,,,dram__bytes_read.max.per_cycle_active
,,,dram__bytes_read.max.per_cycle_elapsed
,,,dram__bytes_read.max.per_cycle_in_frame
,,,dram__bytes_read.max.per_cycle_in_region
,,,dram__bytes_read.max.per_second
,,,dram__bytes_read.min
,,,dram__bytes_read.min.pct_of_peak_sustained_active
,,,dram__bytes_read.min.pct_of_peak_sustained_elapsed
,,,dram__bytes_read.min.pct_of_peak_sustained_frame
,,,dram__bytes_read.min.pct_of_peak_sustained_region
,,,dram__bytes_read.min.peak_sustained
,,,dram__bytes_read.min.peak_sustained_active
,,,dram__bytes_read.min.peak_sustained_active.per_second
,,,dram__bytes_read.min.peak_sustained_elapsed
,,,dram__bytes_read.min.peak_sustained_elapsed.per_second
,,,dram__bytes_read.min.peak_sustained_frame
,,,dram__bytes_read.min.peak_sustained_frame.per_second
,,,dram__bytes_read.min.peak_sustained_region
,,,dram__bytes_read.min.peak_sustained_region.per_second
,,,dram__bytes_read.min.per_cycle_active
,,,dram__bytes_read.min.per_cycle_elapsed
,,,dram__bytes_read.min.per_cycle_in_frame
,,,dram__bytes_read.min.per_cycle_in_region
,,,dram__bytes_read.min.per_second
,,,dram__bytes_read.sum
,,,dram__bytes_read.sum.pct_of_peak_sustained_active
,,,dram__bytes_read.sum.pct_of_peak_sustained_elapsed
,,,dram__bytes_read.sum.pct_of_peak_sustained_frame
,,,dram__bytes_read.sum.pct_of_peak_sustained_region
,,,dram__bytes_read.sum.peak_sustained
,,,dram__bytes_read.sum.peak_sustained_active
,,,dram__bytes_read.sum.peak_sustained_active.per_second
,,,dram__bytes_read.sum.peak_sustained_elapsed
,,,dram__bytes_read.sum.peak_sustained_elapsed.per_second
,,,dram__bytes_read.sum.peak_sustained_frame
,,,dram__bytes_read.sum.peak_sustained_frame.per_second
,,,dram__bytes_read.sum.peak_sustained_region
,,,dram__bytes_read.sum.peak_sustained_region.per_second
,,,dram__bytes_read.sum.per_cycle_active
,,,dram__bytes_read.sum.per_cycle_elapsed
,,,dram__bytes_read.sum.per_cycle_in_frame
,,,dram__bytes_read.sum.per_cycle_in_region
,,,dram__bytes_read.sum.per_second
,,,dram__bytes_write.avg
,,,dram__bytes_write.avg.pct_of_peak_sustained_active
,,,dram__bytes_write.avg.pct_of_peak_sustained_elapsed
,,,dram__bytes_write.avg.pct_of_peak_sustained_frame
,,,dram__bytes_write.avg.pct_of_peak_sustained_region
,,,dram__bytes_write.avg.peak_sustained
,,,dram__bytes_write.avg.peak_sustained_active
,,,dram__bytes_write.avg.peak_sustained_active.per_second
,,,dram__bytes_write.avg.peak_sustained_elapsed
,,,dram__bytes_write.avg.peak_sustained_elapsed.per_second
,,,dram__bytes_write.avg.peak_sustained_frame
,,,dram__bytes_write.avg.peak_sustained_frame.per_second
,,,dram__bytes_write.avg.peak_sustained_region
,,,dram__bytes_write.avg.peak_sustained_region.per_second
,,,dram__bytes_write.avg.per_cycle_active
,,,dram__bytes_write.avg.per_cycle_elapsed
,,,dram__bytes_write.avg.per_cycle_in_frame
,,,dram__bytes_write.avg.per_cycle_in_region
,,,dram__bytes_write.avg.per_second
,,,dram__bytes_write.max
,,,dram__bytes_write.max.pct_of_peak_sustained_active
,,,dram__bytes_write.max.pct_of_peak_sustained_elapsed
,,,dram__bytes_write.max.pct_of_peak_sustained_frame
,,,dram__bytes_write.max.pct_of_peak_sustained_region
,,,dram__bytes_write.max.peak_sustained
,,,dram__bytes_write.max.peak_sustained_active
,,,dram__bytes_write.max.peak_sustained_active.per_second
,,,dram__bytes_write.max.peak_sustained_elapsed
,,,dram__bytes_write.max.peak_sustained_elapsed.per_second
,,,dram__bytes_write.max.peak_sustained_frame
,,,dram__bytes_write.max.peak_sustained_frame.per_second
,,,dram__bytes_write.max.peak_sustained_region
,,,dram__bytes_write.max.peak_sustained_region.per_second
,,,dram__bytes_write.max.per_cycle_active
,,,dram__bytes_write.max.per_cycle_elapsed
,,,dram__bytes_write.max.per_cycle_in_frame
,,,dram__bytes_write.max.per_cycle_in_region
,,,dram__bytes_write.max.per_second
,,,dram__bytes_write.min
,,,dram__bytes_write.min.pct_of_peak_sustained_active
,,,dram__bytes_write.min.pct_of_peak_sustained_elapsed
,,,dram__bytes_write.min.pct_of_peak_sustained_frame
,,,dram__bytes_write.min.pct_of_peak_sustained_region
,,,dram__bytes_write.min.peak_sustained
,,,dram__bytes_write.min.peak_sustained_active
,,,dram__bytes_write.min.peak_sustained_active.per_second
,,,dram__bytes_write.min.peak_sustained_elapsed
,,,dram__bytes_write.min.peak_sustained_elapsed.per_second
,,,dram__bytes_write.min.peak_sustained_frame
,,,dram__bytes_write.min.peak_sustained_frame.per_second
,,,dram__bytes_write.min.peak_sustained_region
,,,dram__bytes_write.min.peak_sustained_region.per_second
,,,dram__bytes_write.min.per_cycle_active
,,,dram__bytes_write.min.per_cycle_elapsed
,,,dram__bytes_write.min.per_cycle_in_frame
,,,dram__bytes_write.min.per_cycle_in_region
,,,dram__bytes_write.min.per_second
,,,dram__bytes_write.sum
,,,dram__bytes_write.sum.pct_of_peak_sustained_active
,,,dram__bytes_write.sum.pct_of_peak_sustained_elapsed
,,,dram__bytes_write.sum.pct_of_peak_sustained_frame
,,,dram__bytes_write.sum.pct_of_peak_sustained_region
